,Association_Rules,Support(%),Confidence(%)
0,Socks --> Sweatshirts,60.0,92.3076923076923
1,Sweatshirts --> Socks,60.0,92.3076923076923
2,Running Shoe --> Sweatshirts,55.00000000000001,78.57142857142858
3,Sweatshirts --> Running Shoe,55.00000000000001,84.61538461538461
4,Running Shoe --> Socks,55.00000000000001,78.57142857142858
5,Socks --> Running Shoe,55.00000000000001,84.61538461538461
6,Sweatshirts --> Modern Pants,50.0,76.92307692307692
7,Modern Pants --> Sweatshirts,50.0,100.0
8,Swimming Shirt --> Rash Guard,50.0,90.9090909090909
9,Rash Guard --> Swimming Shirt,50.0,83.33333333333334
10,Running Shoe --> Socks & Sweatshirts,50.0,71.42857142857143
11,Running Shoe & Socks --> Sweatshirts,50.0,90.9090909090909
12,Socks --> Running Shoe & Sweatshirts,50.0,76.92307692307692
13,Running Shoe & Sweatshirts --> Socks,50.0,90.9090909090909
14,Socks & Sweatshirts --> Running Shoe,50.0,83.33333333333334
15,Sweatshirts --> Running Shoe & Socks,50.0,76.92307692307692
