,Association_Rules,Support(%),Confidence(%)
0,Lab Top Case --> Anti-Virus,60.0,85.71428571428572
1,Anti-Virus --> Lab Top Case,60.0,85.71428571428572
2,Flash Drive --> Microsoft Office,55.00000000000001,84.61538461538461
3,Microsoft Office --> Flash Drive,55.00000000000001,100.0
4,Lab Top --> Lab Top Case,50.0,83.33333333333334
5,Lab Top Case --> Lab Top,50.0,71.42857142857143
6,Printer --> Flash Drive,50.0,100.0
7,Flash Drive --> Printer,50.0,76.92307692307692
8,Flash Drive --> Anti-Virus,50.0,76.92307692307692
9,Anti-Virus --> Flash Drive,50.0,71.42857142857143
10,Lab Top --> Anti-Virus,50.0,83.33333333333334
11,Anti-Virus --> Lab Top,50.0,71.42857142857143
13,External Hard-Drive --> Anti-Virus,45.0,100.0
16,Printer --> Microsoft Office,45.0,90.0
17,Microsoft Office --> Printer,45.0,81.81818181818181
18,Speakers --> Lab Top Case,45.0,81.81818181818181
20,Speakers --> Anti-Virus,45.0,81.81818181818181
23,Flash Drive & Lab Top Case --> Anti-Virus,45.0,100.0
25,Anti-Virus & Flash Drive --> Lab Top Case,45.0,90.0
26,Anti-Virus & Lab Top Case --> Flash Drive,45.0,75.0
28,Printer --> Flash Drive & Microsoft Office,45.0,90.0
29,Flash Drive & Printer --> Microsoft Office,45.0,90.0
31,Microsoft Office & Printer --> Flash Drive,45.0,100.0
32,Flash Drive & Microsoft Office --> Printer,45.0,81.81818181818181
33,Microsoft Office --> Flash Drive & Printer,45.0,81.81818181818181
34,Lab Top --> Anti-Virus & Lab Top Case,45.0,75.0
35,Lab Top & Lab Top Case --> Anti-Virus,45.0,90.0
37,Anti-Virus & Lab Top --> Lab Top Case,45.0,90.0
38,Anti-Virus & Lab Top Case --> Lab Top,45.0,75.0
